Player,DYAR,YAR,DVOA,VOA,Passes,Yards,EYds,TD,FK,FL,INT,2006,C%,DPI
P.Manning,2317,2293,51.3%,50.6%,567,4305,6144,31,1,1,9,2006,65.5%,4/76
D.Brees,1409,1483,25.6%,27.6%,572,4320,5002,26,2,2,11,2006,64.7%,4/35
C.Palmer,1187,1008,21.6%,16.7%,554,3787,4531,28,8,7,12,2006,62.8%,7/141
M.Bulger,1145,1275,16.7%,19.9%,631,3921,4874,24,2,3,7,2006,63.9%,8/189
T.Brady,999,948,17.0%,15.5%,544,3348,4222,24,8,3,12,2006,62.2%,7/174
P.Rivers,891,931,17.4%,18.7%,490,3203,3724,22,4,2,9,2006,62.4%,5/74
C.Pennington,739,593,10.1%,5.9%,516,3207,3810,17,3,4,15,2006,65.8%,9/134
T.Romo,696,820,18.9%,24.3%,360,2761,2810,19,4,3,13,2006,65.3%,2/32
D.McNabb,656,747,18.6%,22.7%,337,2506,2671,18,1,1,5,2006,57.5%,2/34
B.Roethlisberger,623,441,8.2%,2.6%,514,3281,3443,18,2,2,21,2006,60.6%,4/55
S.McNair,622,656,9.2%,10.4%,478,2925,3302,16,5,1,12,2006,64.3%,4/48
D.Huard,583,652,24.3%,28.4%,262,1747,2119,11,3,3,1,2006,60.9%,4/51
E.Manning,529,479,4.1%,2.7%,544,3036,3513,24,6,1,17,2006,58.2%,4/89
J.Kitna,440,367,-0.6%,-2.3%,657,3814,3982,21,1,7,21,2006,62.7%,7/115
B.Favre,394,467,-1.5%,0.3%,632,3748,3824,18,1,4,18,2006,56.1%,5/53
M.Brunell,373,354,10.8%,9.7%,276,1709,1877,8,2,1,4,2006,63.2%,1/29
Player,DYAR,YAR,DVOA,VOA,Passes,Yards,EYds,TD,FK,FL,INT,2006,C%,DPI
J.Garcia,364,369,17.7%,18.1%,195,1273,1510,10,3,2,2,2006,61.7%,0/0
J.Delhomme,300,417,-1.0%,3.0%,453,2610,2782,17,2,4,11,2006,61.3%,6/67
M.Leinart,277,247,0.0%,-1.2%,397,2378,2374,11,6,2,11,2006,58.1%,6/101
T.Rattay,205,164,17.5%,11.8%,108,731,854,4,1,1,2,2006,61.2%,0/0
J.Campbell,135,152,-1.1%,0.2%,214,1242,1263,10,1,0,6,2006,53.4%,0/0
T.Green,116,-18,-2.9%,-12.4%,222,1210,1294,7,1,3,9,2006,61.1%,0/0
V.Young,114,18,-6.3%,-10.4%,379,2064,2032,13,4,1,12,2006,52.5%,4/122
D.Garrard,111,110,-4.6%,-4.6%,261,1613,1519,10,1,1,9,2006,60.2%,0/0
D.Carr,92,-43,-8.2%,-12.5%,484,2483,2677,11,8,6,12,2006,68.9%,4/74
K.Warner,76,153,-4.5%,2.2%,184,1249,1025,6,5,3,5,2006,64.7%,2/28
J.Plummer,67,-1,-8.1%,-11.2%,335,1878,1845,11,3,2,13,2006,55.4%,3/54
J.P.Losman,65,-11,-9.0%,-11.5%,478,2695,2543,19,4,6,13,2006,62.9%,4/104
R.Grossman,44,202,-9.8%,-5.0%,503,3052,2706,23,2,5,20,2006,54.7%,9/169
M.Hasselbeck,15,112,-10.6%,-6.7%,402,2220,2045,18,0,2,15,2006,57.1%,4/74
B.Leftwich,13,137,-10.1%,-0.2%,193,1106,1020,7,1,0,5,2006,59.0%,1/7
D.Bledsoe,0,16,-11.1%,-9.7%,185,1038,922,7,1,1,8,2006,53.9%,5/138
Player,DYAR,YAR,DVOA,VOA,Passes,Yards,EYds,TD,FK,FL,INT,2006,C%,DPI
J.Cutler,-15,67,-12.7%,-4.4%,151,913,779,9,3,1,5,2006,59.1%,5/48
D.Anderson,-94,-119,-22.8%,-25.9%,124,730,517,5,1,0,8,2006,56.9%,0/0
J.Harrington,-97,-236,-14.9%,-20.2%,401,2102,1965,12,3,0,15,2006,58.1%,2/24
C.Weinke,-100,-103,-25.7%,-26.2%,106,570,417,2,1,0,4,2006,58.3%,0/0
D.Culpepper,-111,-79,-23.3%,-19.8%,154,785,582,2,3,0,3,2006,60.9%,0/0
A.Smith,-147,-140,-16.0%,-15.8%,477,2694,2233,16,5,2,16,2006,59.0%,1/27
C.Simms,-150,-211,-31.9%,-40.4%,109,553,377,1,0,0,7,2006,55.2%,1/18
S.Wallace,-163,-128,-28.1%,-24.5%,156,851,551,8,1,3,7,2006,58.2%,1/13
B.Johnson,-211,-196,-18.1%,-17.6%,466,2529,2147,9,5,3,15,2006,62.6%,3/32
C.Frye,-222,-250,-18.9%,-19.9%,436,2182,1998,10,1,5,15,2006,64.7%,8/66
M.Vick,-260,-151,-20.4%,-16.5%,433,2150,1909,20,4,1,11,2006,52.7%,4/97
A.Brooks,-365,-266,-37.8%,-30.6%,219,926,611,3,1,3,7,2006,57.9%,2/30
B.Gradkowski,-452,-446,-31.5%,-31.2%,352,1508,1169,9,3,4,9,2006,54.5%,1/4
A.Walter,-669,-628,-46.2%,-44.1%,326,1399,631,3,3,8,11,2006,53.5%,3/17
Player,DYAR,YAR,DVOA,VOA,Passes,Yards,EYds,TD,FK,FL,INT,2007,C%,DPI
T.Brady,2674,2463,54.1%,51.9%,599,4663,6946,50,1,3,8,2007,69.0%,7/97
P.Manning,1721,1465,37.1%,32.6%,537,3919,5216,31,4,1,13,2007,65.5%,6/115
B.Favre,1311,1254,24.5%,25.1%,549,4068,4743,28,6,1,14,2007,66.9%,7/83
T.Romo,1191,1171,22.5%,24.1%,546,4022,4467,36,8,1,19,2007,64.6%,5/151
D.Brees,1159,925,14.2%,12.1%,669,4280,5264,28,4,4,17,2007,68.2%,4/82
C.Palmer,1095,978,17.0%,16.8%,591,4008,4617,26,4,1,19,2007,65.4%,4/67
D.Garrard,1019,867,34.3%,29.6%,345,2391,3191,18,1,2,3,2007,64.4%,5/51
J.Cutler,865,638,16.0%,10.8%,495,3315,3747,20,6,2,14,2007,64.0%,6/88
M.Hasselbeck,842,969,10.3%,16.1%,595,3739,4324,28,2,2,12,2007,63.1%,5/88
D.Anderson,676,698,8.7%,11.3%,534,3667,3660,29,2,2,19,2007,57.8%,4/49
B.Roethlisberger,668,734,12.7%,16.7%,450,2848,3146,32,4,3,11,2007,66.0%,1/8
J.Garcia,648,636,17.4%,19.9%,346,2325,2711,13,2,1,4,2007,65.3%,2/32
K.Warner,606,709,8.3%,13.9%,472,3256,3336,27,4,5,16,2007,63.1%,4/40
Player,DYAR,YAR,DVOA,VOA,Passes,Yards,EYds,TD,FK,FL,INT,2007,C%,DPI
D.McNabb,554,495,5.1%,5.3%,515,3085,3495,19,3,3,7,2007,61.9%,5/65
S.Rosenfels,550,277,21.4%,8.0%,246,1647,2110,15,1,3,12,2007,64.4%,0/0
P.Rivers,441,279,3.3%,0.1%,486,2976,3056,21,5,5,15,2007,60.3%,4/62
J.Campbell,323,183,0.4%,-2.6%,436,2562,2693,12,2,7,11,2007,60.9%,2/32
M.Schaub,319,271,5.1%,5.0%,301,2080,2023,9,3,3,9,2007,67.8%,2/52
T.Collins,285,251,28.0%,24.9%,113,828,975,5,2,2,0,2007,64.4%,2/26
Q.Gray,267,263,17.3%,18.3%,154,919,1118,10,1,1,4,2007,55.6%,1/13
J.Kitna,262,93,-4.5%,-6.9%,612,3733,3539,18,6,6,20,2007,63.5%,4/107
T.Green,148,75,4.9%,-0.8%,146,922,946,5,1,0,7,2007,62.0%,3/36
C.Redman,113,152,0.2%,6.0%,159,1025,954,10,1,1,5,2007,60.7%,3/72
C.Pennington,83,-33,-6.7%,-10.1%,284,1582,1627,10,3,0,9,2007,69.4%,2/17
T.Jackson,45,47,-8.9%,-6.5%,307,1840,1660,9,1,2,12,2007,59.9%,1/12
J.Harrington,41,27,-9.4%,-8.5%,380,2023,1932,7,0,0,7,2007,61.8%,2/48
Player,DYAR,YAR,DVOA,VOA,Passes,Yards,EYds,TD,FK,FL,INT,2007,C%,DPI
M.Leinart,35,27,-6.3%,-4.6%,116,624,640,2,0,0,3,2007,53.6%,0/0
D.Culpepper,33,-75,-8.5%,-14.9%,209,1176,1055,5,3,3,5,2007,58.7%,1/5
M.Moore,32,-24,-7.1%,-12.9%,118,686,684,3,1,0,4,2007,56.8%,0/0
T.Edwards,3,-59,-11.0%,-11.9%,280,1519,1417,7,4,0,8,2007,56.8%,2/37
J.P.Losman,-18,-40,-12.7%,-12.5%,188,1101,908,4,1,1,6,2007,63.8%,0/0
V.Young,-30,-81,-12.3%,-12.7%,409,2377,2137,9,4,2,17,2007,62.6%,3/55
A.J.Feeley,-56,-100,-19.1%,-23.8%,106,671,490,5,1,0,8,2007,57.3%,1/15
L.McCown,-58,42,-17.0%,-4.7%,153,904,726,5,1,2,3,2007,68.6%,1/11
K.Boller,-81,-91,-15.3%,-14.8%,295,1573,1452,9,1,4,10,2007,62.0%,3/79
D.Huard,-123,-140,-16.6%,-15.5%,367,2023,1647,11,2,3,13,2007,62.2%,3/58
B.Griese,-124,-53,-18.3%,-11.9%,275,1675,1218,9,4,0,12,2007,62.6%,1/12
B.Croyle,-160,-247,-21.6%,-25.0%,240,1115,1011,6,1,3,6,2007,57.2%,0/0
C.Lemon,-163,-178,-18.9%,-18.1%,334,1596,1457,6,3,3,6,2007,56.5%,3/29
Player,DYAR,YAR,DVOA,VOA,Passes,Yards,EYds,TD,FK,FL,INT,2007,C%,DPI
E.Manning,-190,-239,-16.4%,-16.1%,557,3109,2681,23,5,6,19,2007,56.5%,4/58
K.Clemens,-200,-265,-22.6%,-25.4%,274,1390,1132,5,3,1,9,2007,52.8%,4/84
D.Carr,-204,-278,-32.6%,-37.8%,150,553,489,3,1,0,5,2007,53.7%,2/46
G.Frerotte,-216,-209,-29.7%,-26.7%,177,955,641,7,1,1,12,2007,56.6%,2/37
M.Bulger,-224,-228,-19.7%,-17.4%,414,2115,1810,11,2,3,13,2007,58.9%,5/109
R.Grossman,-235,-363,-26.0%,-32.3%,249,1204,952,4,3,2,7,2007,55.6%,1/15
S.McNair,-242,-147,-28.1%,-19.3%,216,1001,818,2,1,5,4,2007,66.0%,2/38
V.Testaverde,-254,-269,-31.8%,-30.5%,181,892,641,5,2,1,6,2007,55.0%,2/50
J.McCown,-289,-241,-32.9%,-27.6%,207,1068,678,10,8,2,10,2007,58.6%,1/21
J.Beck,-327,-340,-54.9%,-55.0%,118,486,157,1,2,5,3,2007,57.5%,0/0
A.Smith,-552,-489,-52.8%,-46.8%,208,779,316,2,1,5,4,2007,49.5%,1/10
T.Dilfer,-681,-696,-55.4%,-54.0%,244,983,312,7,5,1,11,2007,52.6%,1/17
Player,DYAR,YAR,DVOA,VOA,QBR,Rk,Passes,Yards,EYds,TD,FK,2008,FL,INT
D.Brees,1694,1565,28.6%,25.5%,64.4,10,645,4933,5738,34,3,2008,1,16
P.Manning,1554,1552,30.0%,29.9%,79.8,1,567,3916,5155,27,0,2008,0,11
P.Rivers,1347,1444,30.3%,33.3%,68.1,6,503,3850,4453,34,2,2008,4,11
J.Cutler,1172,1292,17.0%,19.9%,72.3,4,626,4438,4956,25,3,2008,0,18
K.Warner,1160,1199,16.5%,17.5%,69.8,5,625,4379,4954,30,4,2008,7,12
C.Pennington,1030,1254,21.1%,28.1%,74.6,2,502,3553,3975,19,2,2008,1,7
M.Ryan,1012,875,25.3%,20.3%,74.1,3,451,3330,3609,16,3,2008,1,11
E.Manning,840,749,14.0%,11.2%,62.6,13,505,3048,3838,21,3,2008,2,9
D.McNabb,817,847,9.7%,10.4%,51.6,21,590,3734,4273,23,0,2008,4,11
M.Schaub,767,586,18.0%,11.1%,68.0,7,400,2860,3163,15,4,2008,4,10
T.Romo,713,568,12.9%,8.0%,48.4,23,473,3265,3354,26,4,2008,6,14
A.Rodgers,708,746,8.5%,9.6%,66.9,8,569,3775,3859,28,6,2008,3,13
J.Delhomme,696,685,13.2%,12.9%,62.6,12,436,3188,3249,15,1,2008,3,12
K.Collins,585,557,9.8%,8.8%,57.9,16,426,2612,3044,12,4,2008,1,7
Player,DYAR,YAR,DVOA,VOA,QBR,Rk,Passes,Yards,EYds,TD,FK,2008,FL,INT
D.Garrard,567,481,4.1%,1.8%,53.1,19,575,3337,3764,15,3,2008,3,11
J.Garcia,467,568,6.9%,10.8%,66.0,9,396,2591,2721,12,3,2008,2,6
J.Campbell,462,389,2.6%,0.4%,56.4,17,541,2985,3346,13,5,2008,1,5
M.Cassel,458,585,1.1%,4.5%,63.2,11,564,3468,3654,21,3,2008,4,11
J.Flacco,232,133,-3.0%,-6.5%,43.2,29,461,2729,2606,14,5,2008,2,11
S.Wallace,203,195,1.6%,1.1%,55.3,18,255,1458,1561,11,1,2008,3,3
T.Jackson,166,157,4.8%,3.9%,42.5,30,161,976,1062,9,1,2008,2,2
K.Orton,161,152,-6.2%,-6.5%,45.5,27,491,2792,2836,18,1,2008,3,12
T.Edwards,137,331,-5.8%,1.8%,51.9,20,397,2554,2254,11,3,2008,4,10
S.Rosenfels,131,84,-0.7%,-4.4%,60.6,14,184,1381,1195,6,2,2008,1,10
D.Orlovsky,110,71,-4.8%,-7.0%,48.0,24,270,1510,1544,8,3,2008,0,7
B.Roethlisberger,97,29,-8.1%,-10.2%,46.8,26,516,3025,2734,17,7,2008,5,13
B.Favre,95,320,-8.6%,-2.6%,44.4,28,550,3246,3136,22,5,2008,2,21
S.Hill,65,193,-8.0%,-1.7%,59.1,15,310,1887,1740,13,6,2008,1,8
Player,DYAR,YAR,DVOA,VOA,QBR,Rk,Passes,Yards,EYds,TD,FK,2008,FL,INT
T.Thigpen,35,106,-9.9%,-7.5%,47.7,25,442,2444,2418,18,2,2008,0,11
C.Palmer,-6,-117,-11.8%,-24.1%,48.6,22,141,662,717,3,2,2008,0,4
B.Griese,-79,-83,-17.7%,-18.0%,40.2,32,192,995,868,5,0,2008,1,7
G.Frerotte,-112,-98,-16.4%,-15.8%,42.3,31,331,1991,1555,12,3,2008,1,15
J.Kitna,-120,-163,-25.0%,-30.1%,11.0,41,135,663,530,5,2,2008,1,5
D.Anderson,-123,-254,-17.5%,-24.4%,30.4,37,300,1519,1379,9,6,2008,1,8
D.Culpepper,-226,-336,-39.4%,-53.1%,18.1,40,128,687,334,4,3,2008,1,6
J.Russell,-265,-149,-21.6%,-17.0%,35.3,34,400,2217,1678,13,4,2008,7,8
R.Fitzpatrick,-315,-457,-22.9%,-28.1%,38.1,33,408,1707,1736,8,4,2008,4,8
J.P.Losman,-357,-328,-62.3%,-58.1%,21.9,39,116,465,78,2,2,2008,3,4
M.Hasselbeck,-402,-328,-38.9%,-33.8%,30.9,36,228,1086,619,5,1,2008,0,10
M.Bulger,-406,-296,-24.7%,-21.0%,32.7,35,482,2483,1867,11,1,2008,4,12
J.T.O'Sullivan,-509,-387,-43.4%,-35.6%,22.9,38,252,1493,578,8,4,2008,6,11
Player,DYAR,YAR,DVOA,VOA,QBR,Rk,Passes,Yards,EYds,TD,FK,2009,FL,INT
T.Brady,2021,1649,40.4%,30.9%,65.1,11,581,4314,5910,28,2,2009,2,13
P.Rivers,1776,1712,41.7%,39.8%,74.7,3,510,4093,5121,28,3,2009,3,9
P.Manning,1771,1849,34.0%,36.0%,82.9,1,581,4429,5560,33,1,2009,0,16
D.Brees,1692,1730,36.7%,37.8%,79.7,2,533,4241,5168,34,2,2009,6,11
B.Favre,1646,1710,34.5%,36.3%,66.4,10,564,3965,5139,33,0,2009,2,7
M.Schaub,1624,1685,29.3%,30.8%,70.3,5,606,4633,5442,29,1,2009,1,15
T.Romo,1432,1333,28.0%,25.3%,62.9,12,585,4268,4896,26,1,2009,4,9
B.Roethlisberger,1227,1298,23.2%,25.2%,67.3,8,557,3977,4544,26,3,2009,3,11
A.Rodgers,1105,1327,17.8%,23.6%,70.2,6,589,4114,4591,30,3,2009,4,7
E.Manning,975,845,17.3%,13.5%,69.8,7,538,3816,4075,27,4,2009,6,13
K.Warner,907,1108,14.5%,20.2%,67.3,9,531,3585,4080,27,5,2009,5,12
K.Orton,711,743,8.4%,9.3%,53.2,17,571,3637,3889,21,2,2009,2,11
M.Ryan,702,458,12.4%,4.2%,56.6,15,465,2816,3347,22,3,2009,2,13
J.Flacco,667,731,8.4%,10.3%,55.0,16,536,3361,3663,21,5,2009,2,11
C.Palmer,583,626,7.8%,9.2%,53.1,18,492,2913,3270,21,4,2009,2,11
D.McNabb,485,518,4.5%,5.6%,60.0,13,479,3291,3137,22,6,2009,3,9
Player,DYAR,YAR,DVOA,VOA,QBR,Rk,Passes,Yards,EYds,TD,FK,2009,FL,INT
C.Henne,449,287,3.4%,-1.8%,51.3,20,476,2695,3095,12,4,2009,0,13
V.Young,427,393,13.9%,11.9%,70.3,4,270,1808,1945,10,4,2009,0,7
M.Moore,262,278,17.0%,18.8%,59.2,14,148,986,1095,8,2,2009,0,2
D.Garrard,249,279,-4.1%,-3.3%,52.6,19,557,3359,3194,15,5,2009,6,10
C.Redman,196,123,14.0%,4.7%,49.3,23,125,746,896,4,1,2009,0,3
J.Campbell,181,219,-6.1%,-5.0%,47.7,25,551,3301,3128,20,7,2009,3,14
K.Kolb,152,132,11.8%,8.9%,49.5,22,100,711,740,4,0,2009,1,2
B.Leftwich,89,-13,1.4%,-13.0%,30.1,36,112,597,680,4,2,2009,0,3
B.Gradkowski,63,2,-5.0%,-11.0%,51.1,21,160,923,923,6,1,2009,3,3
S.Wallace,-17,-17,-13.3%,-13.2%,34.3,28,131,607,635,3,2,2009,2,2
D.Culpepper,-93,-131,-19.7%,-23.3%,33.5,29,172,804,746,3,3,2009,0,6
K.Collins,-139,-134,-21.0%,-20.7%,33.2,31,224,1178,948,6,1,2009,2,8
M.Bulger,-203,-38,-23.2%,-13.4%,32.1,32,261,1384,1079,5,2,2009,1,6
B.Quinn,-207,-212,-22.8%,-23.0%,33.4,30,275,1242,1155,8,1,2009,2,6
A.Smith,-210,-39,-19.5%,-12.7%,40.2,27,394,2228,1724,18,2,2009,1,12
T.Edwards,-229,-202,-29.6%,-27.5%,28.3,38,206,1017,688,6,1,2009,0,6
Player,DYAR,YAR,DVOA,VOA,QBR,Rk,Passes,Yards,EYds,TD,FK,2009,FL,INT
R.Fitzpatrick,-238,-304,-26.6%,-30.9%,29.0,37,248,1299,914,9,1,2009,2,9
J.Delhomme,-260,-377,-23.1%,-28.5%,31.1,34,340,1834,1392,8,2,2009,3,18
S.Hill,-261,-119,-36.3%,-22.6%,42.6,26,173,804,483,5,2,2009,1,2
J.Johnson,-265,-340,-43.2%,-52.3%,13.7,42,137,626,295,4,5,2009,0,7
K.Boller,-352,-327,-39.4%,-37.4%,11.1,45,192,782,525,3,0,2009,1,6
M.Sanchez,-382,-376,-26.5%,-26.3%,31.6,33,390,2249,1477,13,6,2009,3,20
J.Cutler,-390,-326,-21.4%,-19.7%,48.2,24,589,3454,2537,27,7,2009,1,26
J.Freeman,-392,-506,-31.1%,-36.9%,26.1,40,311,1729,1050,10,7,2009,2,17
D.Anderson,-399,-479,-43.6%,-50.2%,16.6,41,193,815,445,3,2,2009,2,10
K.Null,-439,-451,-63.7%,-65.1%,13.1,43,136,482,77,3,1,2009,1,8
M.Hasselbeck,-468,-292,-24.8%,-19.7%,26.4,39,523,2776,2118,17,8,2009,2,16
M.Cassel,-619,-583,-29.3%,-28.2%,30.9,35,541,2634,1905,16,9,2009,2,15
M.Stafford,-653,-497,-36.6%,-30.6%,30.0,37,394,2091,1178,13,3,2009,1,20
J.Russell,-834,-873,-62.0%,-64.4%,11.7,44,278,1081,187,3,3,2009,6,10
Player,DYAR,YAR,DVOA,VOA,QBR,Rk,Passes,Yards,EYds,TD,FK,2010,FL,INT
T.Brady,1918,1771,46.7%,42.2%,76.9,1,518,3719,5276,36,2,2010,1,3
P.Rivers,1430,1629,27.9%,33.3%,63.4,11,582,4456,4903,30,3,2010,4,13
P.Manning,1400,1598,19.0%,23.3%,69.0,5,696,4605,5643,33,2,2010,1,16
A.Rodgers,1288,1241,26.9%,25.5%,69.4,4,505,3710,4474,28,3,2010,0,10
M.Ryan,1120,1080,18.0%,17.0%,69.7,3,593,3543,4622,28,1,2010,2,9
D.Brees,1093,1071,13.3%,12.8%,65.4,8,681,4421,5073,33,4,2010,2,21
B.Roethlisberger,1061,1013,31.1%,29.2%,64.2,10,414,2975,3469,17,3,2010,2,5
M.Schaub,930,926,12.2%,12.0%,57.9,16,606,4122,4480,24,5,2010,3,12
J.Freeman,816,829,13.9%,14.3%,64.6,9,503,3256,3736,25,4,2010,1,6
C.Palmer,739,589,7.1%,3.4%,43.5,26,613,3761,4272,26,3,2010,2,20
J.Flacco,695,686,9.4%,9.1%,60.4,12,529,3349,3676,25,5,2010,2,9
M.Vick,663,665,14.1%,14.2%,68.2,6,404,2813,3019,21,5,2010,2,6
K.Orton,663,708,8.3%,9.6%,48.0,23,531,3423,3650,20,0,2010,1,9
M.Cassel,589,793,8.4%,15.1%,52.3,18,471,2905,3227,27,1,2010,1,7
E.Manning,547,609,4.2%,5.9%,65.5,7,555,3884,3630,31,2,2010,3,24
S.Hill,486,372,6.7%,2.5%,41.8,29,431,2572,2861,16,1,2010,0,12
Player,DYAR,YAR,DVOA,VOA,QBR,Rk,Passes,Yards,EYds,TD,FK,2010,FL,INT
C.Henne,402,291,1.0%,-2.3%,42.5,27,521,3117,3211,15,2,2010,1,18
V.Young,353,358,20.5%,20.9%,70.6,2,170,1174,1379,10,1,2010,3,2
T.Romo,334,359,13.3%,15.1%,56.4,17,220,1563,1557,11,0,2010,0,7
M.Sanchez,234,219,-4.3%,-4.8%,48.2,22,531,3105,3090,17,6,2010,1,13
J.Kitna,234,226,-0.5%,-0.8%,46.0,24,339,2264,2085,16,3,2010,1,12
D.Garrard,227,264,-1.8%,-0.2%,60.3,13,398,2466,2272,23,4,2010,2,15
R.Fitzpatrick,223,139,-3.6%,-6.4%,48.3,21,466,2851,2676,23,3,2010,3,15
D.Stanton,174,84,12.2%,0.0%,42.4,28,123,722,840,4,1,2010,1,3
S.Wallace,151,114,11.3%,5.8%,38.4,34,107,661,749,4,0,2010,0,2
K.Collins,150,218,-3.2%,0.4%,58.7,14,290,1706,1720,14,1,2010,3,8
C.McCoy,146,84,-1.9%,-5.8%,45.1,25,245,1465,1461,6,1,2010,0,9
D.McNabb,133,58,-6.9%,-9.3%,38.9,33,509,3078,2690,14,8,2010,0,13
M.Stafford,91,80,3.0%,1.2%,58.1,15,100,504,646,6,0,2010,1,1
J.Cutler,81,54,-8.5%,-9.3%,48.5,19,484,2930,2552,23,4,2010,5,16
J.Campbell,23,92,-10.1%,-6.9%,48.5,20,361,2197,1797,13,7,2010,1,8
K.Kolb,12,21,-10.2%,-9.4%,35.7,35,200,1064,1026,7,2,2010,2,3
Player,DYAR,YAR,DVOA,VOA,QBR,Rk,Passes,Yards,EYds,TD,FK,2010,FL,INT
A.Smith,-26,0,-12.2%,-11.1%,40.9,31,364,2173,1830,14,2,2010,2,10
T.Smith,-94,-104,-20.0%,-20.9%,32.0,38,166,1070,728,5,4,2010,0,4
