playerID,yearID,InnOuts,PO,A,E,playerID_2,yearID_2,InnOuts_2,PO_2,A_2,E_2
hardyjj01,2013,4251.0,230.0,403.0,12.0,hardyjj01,2014,3771.0,187.0,394.0,13.0
hechaad01,2013,3891.0,197.0,401.0,15.0,hechaad01,2014,3885.0,200.0,438.0,14.0
hernajo01,2001,3858.0,204.0,427.0,18.0,hernajo01,2002,3804.0,244.0,451.0,19.0
izturce01,2002,2979.0,155.0,306.0,10.0,izturce01,2003,4095.0,198.0,481.0,16.0
izturce01,2003,4095.0,198.0,481.0,16.0,izturce01,2004,4158.0,234.0,430.0,10.0
izturce01,2004,4158.0,234.0,430.0,10.0,izturce01,2005,2754.0,145.0,327.0,11.0
izturce01,2008,3003.0,170.0,370.0,11.0,izturce01,2009,2805.0,171.0,337.0,8.0
izturce01,2009,2805.0,171.0,337.0,8.0,izturce01,2010,3750.0,212.0,382.0,9.0
jeterde01,1996,4112.0,244.0,444.0,22.0,jeterde01,1997,4251.0,244.0,457.0,18.0
jeterde01,1997,4251.0,244.0,457.0,18.0,jeterde01,1998,3914.0,223.0,393.0,9.0
jeterde01,1998,3914.0,223.0,393.0,9.0,jeterde01,1999,4187.0,230.0,391.0,14.0
jeterde01,1999,4187.0,230.0,391.0,14.0,jeterde01,2000,3837.0,237.0,349.0,24.0
jeterde01,2000,3837.0,237.0,349.0,24.0,jeterde01,2001,3936.0,212.0,343.0,15.0
jeterde01,2001,3936.0,212.0,343.0,15.0,jeterde01,2002,4149.0,219.0,367.0,14.0
jeterde01,2002,4149.0,219.0,367.0,14.0,jeterde01,2003,3102.0,159.0,271.0,14.0
jeterde01,2003,3102.0,159.0,271.0,14.0,jeterde01,2004,4026.0,273.0,392.0,13.0
jeterde01,2004,4026.0,273.0,392.0,13.0,jeterde01,2005,4059.0,262.0,454.0,15.0
jeterde01,2005,4059.0,262.0,454.0,15.0,jeterde01,2006,3876.0,214.0,381.0,15.0
jeterde01,2006,3876.0,214.0,381.0,15.0,jeterde01,2007,3954.0,199.0,390.0,18.0
jeterde01,2007,3954.0,199.0,390.0,18.0,jeterde01,2008,3777.0,220.0,347.0,12.0
jeterde01,2008,3777.0,220.0,347.0,12.0,jeterde01,2009,3783.0,206.0,340.0,8.0
jeterde01,2009,3783.0,206.0,340.0,8.0,jeterde01,2010,3912.0,182.0,365.0,6.0
jeterde01,2010,3912.0,182.0,365.0,6.0,jeterde01,2011,3141.0,140.0,280.0,12.0
jeterde01,2011,3141.0,140.0,280.0,12.0,jeterde01,2012,3558.0,172.0,324.0,10.0
larkiba01,1998,3708.0,207.0,361.0,12.0,larkiba01,1999,4118.0,220.0,401.0,14.0
lopezfe01,2005,3525.0,186.0,358.0,17.0,lopezfe01,2006,4011.0,187.0,389.0,28.0
lopezfe01,2006,4011.0,187.0,389.0,28.0,lopezfe01,2007,2781.0,154.0,289.0,20.0
lowrije01,2013,3069.0,139.0,266.0,16.0,lowrije01,2014,3438.0,146.0,344.0,13.0
lugoju01,2003,3594.0,241.0,391.0,20.0,lugoju01,2004,3714.0,236.0,422.0,25.0
lugoju01,2004,3714.0,236.0,422.0,25.0,lugoju01,2005,4017.0,310.0,424.0,24.0
mearepa01,1996,3748.0,257.0,344.0,22.0,mearepa01,1997,3394.0,211.0,415.0,20.0
mearepa01,1997,3394.0,211.0,415.0,20.0,mearepa01,1998,3810.0,263.0,412.0,24.0
ordonre01,1996,3787.0,228.0,450.0,27.0,ordonre01,1997,2869.0,171.0,355.0,9.0
ordonre01,1997,2869.0,171.0,355.0,9.0,ordonre01,1998,3867.0,265.0,401.0,17.0
ordonre01,1998,3867.0,265.0,401.0,17.0,ordonre01,1999,3950.0,220.0,416.0,4.0
ordonre01,2001,3678.0,213.0,383.0,12.0,ordonre01,2002,3495.0,208.0,388.0,19.0
pennicl01,2010,3915.0,218.0,496.0,25.0,pennicl01,2011,3816.0,216.0,374.0,22.0
peraljh01,2005,3696.0,207.0,413.0,19.0,peraljh01,2006,3825.0,235.0,459.0,16.0
peraljh01,2006,3825.0,235.0,459.0,16.0,peraljh01,2007,4044.0,249.0,452.0,19.0
peraljh01,2007,4044.0,249.0,452.0,19.0,peraljh01,2008,3813.0,217.0,427.0,14.0
peraljh01,2011,3735.0,218.0,383.0,7.0,peraljh01,2012,3834.0,229.0,359.0,7.0
peraljh01,2012,3834.0,229.0,359.0,7.0,peraljh01,2013,2808.0,140.0,294.0,4.0
peraljh01,2013,2808.0,140.0,294.0,4.0,peraljh01,2014,3975.0,191.0,418.0,12.0
perezne01,1998,4157.0,272.0,516.0,20.0,perezne01,1999,4109.0,260.0,481.0,14.0
perezne01,1999,4109.0,260.0,481.0,14.0,perezne01,2000,4209.0,288.0,523.0,18.0
perezne01,2000,4209.0,288.0,523.0,18.0,perezne01,2001,3480.0,241.0,395.0,15.0
perezne01,2001,3480.0,241.0,395.0,15.0,perezne01,2002,3627.0,251.0,400.0,19.0
ramiral03,2009,3882.0,220.0,410.0,20.0,ramiral03,2010,4131.0,249.0,499.0,20.0
ramiral03,2010,4131.0,249.0,499.0,20.0,ramiral03,2011,4146.0,217.0,457.0,16.0
ramiral03,2011,4146.0,217.0,457.0,16.0,ramiral03,2012,4176.0,227.0,434.0,12.0
ramiral03,2012,4176.0,227.0,434.0,12.0,ramiral03,2013,4203.0,236.0,433.0,22.0
ramiral03,2013,4203.0,236.0,433.0,22.0,ramiral03,2014,4131.0,195.0,486.0,15.0
ramirha01,2006,3969.0,258.0,411.0,26.0,ramirha01,2007,3906.0,225.0,392.0,24.0
ramirha01,2007,3906.0,225.0,392.0,24.0,ramirha01,2008,3906.0,236.0,401.0,22.0
ramirha01,2008,3906.0,236.0,401.0,22.0,ramirha01,2009,3777.0,221.0,349.0,10.0
ramirha01,2009,3777.0,221.0,349.0,10.0,ramirha01,2010,3651.0,200.0,342.0,16.0
renteed01,1996,2767.0,163.0,344.0,11.0,renteed01,1997,3986.0,242.0,415.0,17.0
renteed01,1997,3986.0,242.0,415.0,17.0,renteed01,1998,3393.0,194.0,372.0,20.0
renteed01,1998,3393.0,194.0,372.0,20.0,renteed01,1999,3774.0,219.0,393.0,26.0
renteed01,1999,3774.0,219.0,393.0,26.0,renteed01,2000,3774.0,231.0,379.0,27.0
renteed01,2000,3774.0,231.0,379.0,27.0,renteed01,2001,3459.0,207.0,390.0,24.0
renteed01,2001,3459.0,207.0,390.0,24.0,renteed01,2002,3861.0,202.0,410.0,19.0
renteed01,2002,3861.0,202.0,410.0,19.0,renteed01,2003,4101.0,191.0,439.0,16.0
renteed01,2003,4101.0,191.0,439.0,16.0,renteed01,2004,3921.0,222.0,419.0,11.0
renteed01,2004,3921.0,222.0,419.0,11.0,renteed01,2005,3879.0,227.0,398.0,30.0
renteed01,2005,3879.0,227.0,398.0,30.0,renteed01,2006,3795.0,185.0,399.0,13.0
renteed01,2006,3795.0,185.0,399.0,13.0,renteed01,2007,3057.0,147.0,322.0,11.0
renteed01,2007,3057.0,147.0,322.0,11.0,renteed01,2008,3519.0,197.0,365.0,16.0
renteed01,2008,3519.0,197.0,365.0,16.0,renteed01,2009,3216.0,161.0,299.0,14.0
reyesjo01,2005,4194.0,236.0,428.0,18.0,reyesjo01,2006,3960.0,176.0,390.0,17.0
reyesjo01,2006,3960.0,176.0,390.0,17.0,reyesjo01,2007,4293.0,203.0,445.0,12.0
reyesjo01,2007,4293.0,203.0,445.0,12.0,reyesjo01,2008,4260.0,221.0,422.0,17.0
reyesjo01,2010,3513.0,179.0,362.0,15.0,reyesjo01,2011,3261.0,175.0,361.0,18.0
reyesjo01,2011,3261.0,175.0,361.0,18.0,reyesjo01,2012,4233.0,226.0,419.0,18.0
rodrial01,1996,3803.0,238.0,404.0,15.0,rodrial01,1997,3701.0,209.0,394.0,24.0
rodrial01,1997,3701.0,209.0,394.0,24.0,rodrial01,1998,4168.0,268.0,445.0,18.0
rodrial01,1998,4168.0,268.0,445.0,18.0,rodrial01,1999,3344.0,213.0,382.0,14.0
rodrial01,1999,3344.0,213.0,382.0,14.0,rodrial01,2000,3855.0,243.0,438.0,10.0
rodrial01,2000,3855.0,243.0,438.0,10.0,rodrial01,2001,4185.0,279.0,452.0,18.0
rodrial01,2001,4185.0,279.0,452.0,18.0,rodrial01,2002,4170.0,259.0,472.0,10.0
rodrial01,2002,4170.0,259.0,472.0,10.0,rodrial01,2003,4110.0,227.0,464.0,8.0
rolliji01,2001,4164.0,216.0,426.0,14.0,rolliji01,2002,4029.0,226.0,455.0,14.0
rolliji01,2002,4029.0,226.0,455.0,14.0,rolliji01,2003,4074.0,203.0,463.0,14.0
rolliji01,2003,4074.0,203.0,463.0,14.0,rolliji01,2004,4131.0,214.0,399.0,9.0
rolliji01,2004,4131.0,214.0,399.0,9.0,rolliji01,2005,4068.0,207.0,411.0,12.0
rolliji01,2005,4068.0,207.0,411.0,12.0,rolliji01,2006,4134.0,213.0,446.0,11.0
rolliji01,2006,4134.0,213.0,446.0,11.0,rolliji01,2007,4323.0,227.0,479.0,11.0
rolliji01,2007,4323.0,227.0,479.0,11.0,rolliji01,2008,3504.0,193.0,393.0,7.0
rolliji01,2008,3504.0,193.0,393.0,7.0,rolliji01,2009,4095.0,212.0,389.0,6.0
rolliji01,2011,3621.0,181.0,393.0,7.0,rolliji01,2012,4092.0,204.0,377.0,13.0
rolliji01,2012,4092.0,204.0,377.0,13.0,rolliji01,2013,3954.0,190.0,424.0,11.0
rolliji01,2013,3954.0,190.0,424.0,11.0,rolliji01,2014,3513.0,158.0,398.0,7.0
ryanbr01,2010,3381.0,197.0,430.0,17.0,ryanbr01,2011,3183.0,186.0,371.0,15.0
ryanbr01,2011,3183.0,186.0,371.0,15.0,ryanbr01,2012,3513.0,196.0,396.0,9.0
sanchre01,1999,3386.0,242.0,452.0,13.0,sanchre01,2000,3594.0,224.0,446.0,4.0
sanchre01,2000,3594.0,224.0,446.0,4.0,sanchre01,2001,3726.0,217.0,479.0,6.0
scutama01,2009,3759.0,190.0,421.0,10.0,scutama01,2010,3498.0,152.0,344.0,18.0
scutama01,2010,3498.0,152.0,344.0,18.0,scutama01,2011,2787.0,147.0,269.0,12.0
segurje01,2013,3753.0,199.0,459.0,15.0,segurje01,2014,3711.0,180.0,447.0,16.0
simmoan01,2013,4056.0,240.0,499.0,14.0,simmoan01,2014,3831.0,217.0,411.0,14.0
stockke01,1996,2975.0,165.0,352.0,13.0,stockke01,1997,3787.0,190.0,376.0,11.0
stockke01,1997,3787.0,190.0,376.0,11.0,stockke01,1998,2820.0,186.0,335.0,11.0
tejadmi01,1998,2745.0,173.0,327.0,26.0,tejadmi01,1999,4132.0,292.0,471.0,21.0
tejadmi01,1999,4132.0,292.0,471.0,21.0,tejadmi01,2000,4200.0,233.0,501.0,21.0
tejadmi01,2000,4200.0,233.0,501.0,21.0,tejadmi01,2001,4293.0,256.0,473.0,20.0
tejadmi01,2001,4293.0,256.0,473.0,20.0,tejadmi01,2002,4272.0,229.0,504.0,19.0
tejadmi01,2002,4272.0,229.0,504.0,19.0,tejadmi01,2003,4254.0,240.0,490.0,21.0
tejadmi01,2003,4254.0,240.0,490.0,21.0,tejadmi01,2004,4266.0,263.0,526.0,24.0
tejadmi01,2004,4266.0,263.0,526.0,24.0,tejadmi01,2005,4185.0,252.0,479.0,22.0
tejadmi01,2005,4185.0,252.0,479.0,22.0,tejadmi01,2006,3882.0,237.0,418.0,19.0
tejadmi01,2006,3882.0,237.0,418.0,19.0,tejadmi01,2007,3207.0,149.0,358.0,15.0
tejadmi01,2007,3207.0,149.0,358.0,15.0,tejadmi01,2008,4062.0,187.0,442.0,11.0
tejadmi01,2008,4062.0,187.0,442.0,11.0,tejadmi01,2009,4113.0,214.0,475.0,21.0
theriry01,2008,3798.0,207.0,341.0,14.0,theriry01,2009,3933.0,206.0,411.0,15.0
tulowtr01,2009,3882.0,215.0,433.0,9.0,tulowtr01,2010,3195.0,211.0,388.0,10.0
tulowtr01,2010,3195.0,211.0,388.0,10.0,tulowtr01,2011,3624.0,261.0,417.0,6.0
uribeju01,2005,3879.0,249.0,422.0,16.0,uribeju01,2006,3390.0,217.0,373.0,14.0
uribeju01,2006,3390.0,217.0,373.0,14.0,uribeju01,2007,3915.0,245.0,443.0,17.0
valenjo03,1996,3874.0,243.0,460.0,37.0,valenjo03,1997,3451.0,208.0,383.0,20.0
valenjo03,1997,3451.0,208.0,383.0,20.0,valenjo03,1998,3181.0,173.0,370.0,21.0
valenjo03,2003,3600.0,225.0,396.0,20.0,valenjo03,2004,3075.0,186.0,373.0,20.0
vizquom01,1996,3937.0,226.0,447.0,20.0,vizquom01,1997,3922.0,245.0,429.0,10.0
vizquom01,1997,3922.0,245.0,429.0,10.0,vizquom01,1998,3948.0,273.0,442.0,5.0
vizquom01,1998,3948.0,273.0,442.0,5.0,vizquom01,1999,3643.0,221.0,396.0,15.0
vizquom01,1999,3643.0,221.0,396.0,15.0,vizquom01,2000,3987.0,231.0,414.0,3.0
vizquom01,2000,3987.0,231.0,414.0,3.0,vizquom01,2001,3963.0,219.0,414.0,7.0
vizquom01,2001,3963.0,219.0,414.0,7.0,vizquom01,2002,3873.0,239.0,431.0,7.0
vizquom01,2004,3735.0,200.0,396.0,11.0,vizquom01,2005,3876.0,234.0,426.0,8.0
vizquom01,2005,3876.0,234.0,426.0,8.0,vizquom01,2006,3843.0,205.0,390.0,4.0
vizquom01,2006,3843.0,205.0,390.0,4.0,vizquom01,2007,3657.0,198.0,444.0,9.0
weisswa01,1996,3825.0,220.0,450.0,30.0,weisswa01,1997,2911.0,191.0,372.0,10.0
wilsoja02,2002,3540.0,187.0,463.0,15.0,wilsoja02,2003,3885.0,218.0,454.0,17.0
wilsoja02,2003,3885.0,218.0,454.0,17.0,wilsoja02,2004,4068.0,234.0,492.0,17.0
wilsoja02,2004,4068.0,234.0,492.0,17.0,wilsoja02,2005,4080.0,246.0,523.0,14.0
wilsoja02,2005,4080.0,246.0,523.0,14.0,wilsoja02,2006,3390.0,198.0,426.0,18.0
wilsoja02,2006,3390.0,198.0,426.0,18.0,wilsoja02,2007,3426.0,177.0,452.0,11.0
womacto01,2000,3735.0,217.0,365.0,18.0,womacto01,2001,3042.0,152.0,311.0,22.0
womacto01,2001,3042.0,152.0,311.0,22.0,womacto01,2002,3816.0,175.0,364.0,20.0
youngmi02,2004,4161.0,225.0,423.0,19.0,youngmi02,2005,4068.0,238.0,427.0,18.0
youngmi02,2005,4068.0,238.0,427.0,18.0,youngmi02,2006,4068.0,241.0,492.0,14.0
youngmi02,2006,4068.0,241.0,492.0,14.0,youngmi02,2007,3873.0,211.0,446.0,19.0
youngmi02,2007,3873.0,211.0,446.0,19.0,youngmi02,2008,3867.0,193.0,465.0,11.0
