Team,Wins,Offensive Shooting,Defensive Shooting,Offensive Turnovers,Defensive Turnovers,Offensive Rebounding,Defensive Rebounding,Offensive Free Throws,Defensive Free Throws
76ers,35,0.48,0.501,0.163,0.166,0.272,0.708,0.255,0.221
Bobcats,33,0.48,0.5,0.155,0.165,0.264,0.716,0.236,0.279
Bucks,28,0.504,0.522,0.158,0.164,0.276,0.681,0.209,0.234
Bulls,49,0.493,0.473,0.166,0.18,0.286,0.743,0.229,0.252
Cavs,50,0.484,0.48,0.152,0.163,0.297,0.758,0.223,0.243
Celtics,24,0.479,0.502,0.172,0.161,0.27,0.738,0.259,0.28
Clippers,40,0.481,0.488,0.162,0.148,0.272,0.747,0.28,0.249
Grizzlies,22,0.504,0.529,0.168,0.157,0.259,0.711,0.285,0.237
Hawks,30,0.471,0.503,0.17,0.163,0.292,0.709,0.263,0.268
Heat,44,0.506,0.485,0.159,0.154,0.249,0.733,0.222,0.232
Hornets,39,0.479,0.499,0.154,0.146,0.291,0.747,0.215,0.212
Jazz,51,0.502,0.496,0.164,0.159,0.317,0.751,0.283,0.314
Kings,32.4,0.491,0.513,0.149,0.166,0.231,0.725,0.289,0.24
Knicks,33,0.494,0.504,0.181,0.145,0.31,0.74,0.27,0.246
Lakers,42,0.511,0.5,0.159,0.151,0.261,0.723,0.249,0.262
Magic,40,0.5,0.48,0.183,0.162,0.293,0.737,0.276,0.286
Mavs,67,0.509,0.477,0.151,0.157,0.287,0.75,0.256,0.265
Nets,41,0.504,0.49,0.157,0.152,0.246,0.744,0.245,0.266
Nuggets,45,0.501,0.499,0.164,0.162,0.289,0.718,0.268,0.203
Pacers,35,0.474,0.491,0.17,0.165,0.284,0.727,0.246,0.271
Pistons,53,0.488,0.477,0.135,0.162,0.283,0.709,0.237,0.234
Raptors,47,0.504,0.503,0.142,0.159,0.222,0.745,0.239,0.219
Rockets,52,0.499,0.466,0.152,0.15,0.257,0.77,0.22,0.23
Sonics,31,0.499,0.515,0.162,0.158,0.278,0.709,0.228,0.243
Spurs,58,0.521,0.471,0.15,0.155,0.242,0.757,0.235,0.201
Suns,61,0.551,0.492,0.147,0.152,0.227,0.719,0.215,0.206
Trailblazers,32,0.483,0.508,0.163,0.15,0.282,0.73,0.241,0.267
Warriors,42,0.512,0.506,0.157,0.182,0.256,0.696,0.215,0.264
Wizards,41,0.491,0.517,0.141,0.162,0.281,0.71,0.272,0.249
Wolves,32.4,0.49,0.498,0.164,0.15,0.252,0.721,0.231,0.226